English,Japanese
hello,こんにちわ
nice to meet you,はじめまして
thank you,ありがとう
please,おねがいします
sorry,ごめんなさい
stop,やめて
yes,はい
no,いいえ
what is?,なんですか?
where is?,どこですか?
how?,どうですか?
how much is it?,いくらですか?
is there?,いますか?
i would like,だといいです
refrigerator,れいぞおこ
freezer,れいとうこ
microwave,でんしれんじ
heater,だんぼうき
laundry machine,せんたくき
airplane,ひこうき
train,でんしゃ
subway,ちかてつ
bicycle,じてんしゃ
train station,えき
bus stop,ばすてい
airport,くうこう
traffic light,しんごう
chopsticks,はし
water,みず
vegetables,やさい
meat,にく
beef,ぎゅうにく
pork,ぶたにく
chicken,とりにく
week,しゅう
year,おし
today,きょう
tomorrow,あした
yesterday,きのう
second,びょう
hour,じかん
minute,ふん
small,ちいさい
big,おおき
beautiful,きれい
ugly,みにくい
difficult,むずかしい
easy,かんたん
